Target,Model,Seed,Kendall_tau_b,Top10_overlap_count,Top10_overlap_fraction,RMSE_raw
VEGFR2,ConcatFusion,42,0.7468915000715458,6,0.6,0.5323641172173739
VEGFR2,ConcatFusion,123,0.3034566012602587,3,0.3,1.2127798241685015
VEGFR2,ConcatFusion,2026,0.43526098362582566,4,0.4,1.1635617295312821
VEGFR2,ProductFusion,42,0.4260653290421814,1,0.1,1.287328436007657
VEGFR2,ProductFusion,123,0.7632393304424689,7,0.7,0.49320067192789946
VEGFR2,ProductFusion,2026,0.7417828030806324,5,0.5,0.5251704009431376
VEGFR2,AttentionFusion,42,0.6110001601132482,4,0.4,0.8668381484673068
VEGFR2,AttentionFusion,123,0.4260653290421814,3,0.3,1.2255582647846235
VEGFR2,AttentionFusion,2026,0.5946523297423252,4,0.4,0.9023468242120128
VEGFR2,DeepDTA-style,42,0.7622175910442862,8,0.8,0.5091789467956787
VEGFR2,DeepDTA-style,123,0.5752392811768541,3,0.3,1.0178069236569214
VEGFR2,DeepDTA-style,2026,0.769369766831565,8,0.8,0.44772561149298545
VEGFR2,GraphDTA-GCN-style,42,0.7744784638224784,8,0.8,0.41085679441114403
VEGFR2,GraphDTA-GCN-style,123,0.7938915123879495,9,0.9,0.3633375772198523
VEGFR2,GraphDTA-GCN-style,2026,0.7244132333115267,7,0.7,0.596673438619712
