dataset,setting,partition,source_split,source_row
DAVIS,cold_drug,test,source_train,8817
DAVIS,cold_drug,test,source_train,8828
DAVIS,cold_drug,test,source_train,8839
DAVIS,cold_drug,test,source_train,8796
DAVIS,cold_drug,test,source_train,8823
DAVIS,cold_drug,test,source_train,8773
DAVIS,cold_drug,test,source_train,20037
DAVIS,cold_drug,test,source_train,20048
DAVIS,cold_drug,test,source_train,20059
DAVIS,cold_drug,test,source_train,20016
DAVIS,cold_drug,test,source_train,20043
DAVIS,cold_drug,test,source_train,19993
DAVIS,cold_drug,test,source_test,2493
DAVIS,cold_drug,test,source_test,2504
DAVIS,cold_drug,test,source_test,2515
DAVIS,cold_drug,test,source_test,2472
DAVIS,cold_drug,test,source_test,2499
DAVIS,cold_drug,test,source_test,2449
DAVIS,cold_drug,test,source_train,4261
DAVIS,cold_drug,test,source_train,4272
DAVIS,cold_drug,test,source_train,4283
DAVIS,cold_drug,test,source_train,4240
DAVIS,cold_drug,test,source_train,4267
DAVIS,cold_drug,test,source_train,4217
DAVIS,cold_drug,test,source_train,4193
DAVIS,cold_drug,test,source_train,4204
DAVIS,cold_drug,test,source_train,4215
DAVIS,cold_drug,test,source_train,4172
DAVIS,cold_drug,test,source_train,4199
DAVIS,cold_drug,test,source_train,4149
DAVIS,cold_drug,test,source_test,2221
DAVIS,cold_drug,test,source_test,2232
DAVIS,cold_drug,test,source_test,2243
DAVIS,cold_drug,test,source_test,2200
DAVIS,cold_drug,test,source_test,2227
DAVIS,cold_drug,test,source_test,2177
DAVIS,cold_drug,test,source_train,9701
DAVIS,cold_drug,test,source_train,9712
DAVIS,cold_drug,test,source_train,9723
DAVIS,cold_drug,test,source_train,9680
DAVIS,cold_drug,test,source_train,9707
DAVIS,cold_drug,test,source_train,9657
DAVIS,cold_drug,test,source_train,9633
DAVIS,cold_drug,test,source_train,9644
DAVIS,cold_drug,test,source_train,9655
DAVIS,cold_drug,test,source_train,9612
DAVIS,cold_drug,test,source_train,9639
DAVIS,cold_drug,test,source_train,9589
DAVIS,cold_drug,test,source_train,15073
DAVIS,cold_drug,test,source_train,15084
DAVIS,cold_drug,test,source_train,15095
DAVIS,cold_drug,test,source_train,15052
DAVIS,cold_drug,test,source_train,15079
DAVIS,cold_drug,test,source_train,15029
DAVIS,cold_drug,test,source_train,23641
DAVIS,cold_drug,test,source_train,23652
DAVIS,cold_drug,test,source_train,23663
DAVIS,cold_drug,test,source_train,23620
DAVIS,cold_drug,test,source_train,23647
DAVIS,cold_drug,test,source_train,23597
DAVIS,cold_drug,test,source_train,2085
DAVIS,cold_drug,test,source_train,2096
DAVIS,cold_drug,test,source_train,2107
DAVIS,cold_drug,test,source_train,2064
DAVIS,cold_drug,test,source_train,2091
DAVIS,cold_drug,test,source_train,2041
DAVIS,cold_drug,test,source_train,1541
DAVIS,cold_drug,test,source_train,1552
DAVIS,cold_drug,test,source_train,1563
DAVIS,cold_drug,test,source_train,1520
DAVIS,cold_drug,test,source_train,1547
DAVIS,cold_drug,test,source_train,1497
DAVIS,cold_drug,test,source_train,3037
DAVIS,cold_drug,test,source_train,3105
DAVIS,cold_drug,test,source_train,3048
DAVIS,cold_drug,test,source_train,3116
DAVIS,cold_drug,test,source_train,3059
DAVIS,cold_drug,test,source_train,3127
DAVIS,cold_drug,test,source_train,3016
DAVIS,cold_drug,test,source_train,3084
DAVIS,cold_drug,test,source_train,3043
DAVIS,cold_drug,test,source_train,3111
DAVIS,cold_drug,test,source_train,2993
DAVIS,cold_drug,test,source_train,3061
DAVIS,cold_drug,test,source_train,16365
DAVIS,cold_drug,test,source_train,16376
DAVIS,cold_drug,test,source_train,16387
DAVIS,cold_drug,test,source_train,16344
DAVIS,cold_drug,test,source_train,16371
DAVIS,cold_drug,test,source_train,16321
DAVIS,cold_drug,test,source_train,16977
DAVIS,cold_drug,test,source_train,16988
DAVIS,cold_drug,test,source_train,16999
DAVIS,cold_drug,test,source_train,16956
DAVIS,cold_drug,test,source_train,16983
DAVIS,cold_drug,test,source_train,16933
DAVIS,cold_drug,test,source_train,3377
DAVIS,cold_drug,test,source_train,3388
DAVIS,cold_drug,test,source_train,3399
DAVIS,cold_drug,test,source_train,3356
DAVIS,cold_drug,test,source_train,3383
DAVIS,cold_drug,test,source_train,3333
DAVIS,cold_drug,test,source_train,7117
DAVIS,cold_drug,test,source_train,7128
DAVIS,cold_drug,test,source_train,7139
DAVIS,cold_drug,test,source_train,7096
DAVIS,cold_drug,test,source_train,7123
DAVIS,cold_drug,test,source_train,7073
DAVIS,cold_drug,test,source_train,4125
DAVIS,cold_drug,test,source_train,4136
DAVIS,cold_drug,test,source_train,4147
DAVIS,cold_drug,test,source_train,4104
DAVIS,cold_drug,test,source_train,4131
DAVIS,cold_drug,test,source_train,4081
DAVIS,cold_drug,test,source_test,1405
DAVIS,cold_drug,test,source_test,1416
DAVIS,cold_drug,test,source_test,1427
DAVIS,cold_drug,test,source_test,1384
DAVIS,cold_drug,test,source_test,1411
DAVIS,cold_drug,test,source_test,1361
DAVIS,cold_drug,test,source_train,9769
DAVIS,cold_drug,test,source_train,9780
DAVIS,cold_drug,test,source_train,9791
DAVIS,cold_drug,test,source_train,9748
DAVIS,cold_drug,test,source_train,9775
DAVIS,cold_drug,test,source_train,9725
DAVIS,cold_drug,test,source_train,9837
DAVIS,cold_drug,test,source_train,9848
DAVIS,cold_drug,test,source_train,9859
DAVIS,cold_drug,test,source_train,9816
DAVIS,cold_drug,test,source_train,9843
DAVIS,cold_drug,test,source_train,9793
DAVIS,cold_drug,test,source_train,2017
DAVIS,cold_drug,test,source_train,2028
DAVIS,cold_drug,test,source_train,2039
DAVIS,cold_drug,test,source_train,1996
DAVIS,cold_drug,test,source_train,2023
DAVIS,cold_drug,test,source_train,1973
DAVIS,cold_drug,test,source_train,9905
DAVIS,cold_drug,test,source_train,9916
DAVIS,cold_drug,test,source_train,9927
DAVIS,cold_drug,test,source_train,9884
DAVIS,cold_drug,test,source_train,9911
DAVIS,cold_drug,test,source_train,9861
DAVIS,cold_drug,test,source_test,1609
DAVIS,cold_drug,test,source_test,1620
DAVIS,cold_drug,test,source_test,1631
DAVIS,cold_drug,test,source_test,1588
DAVIS,cold_drug,test,source_test,1615
DAVIS,cold_drug,test,source_test,1565
DAVIS,cold_drug,test,source_train,1269
DAVIS,cold_drug,test,source_train,1280
DAVIS,cold_drug,test,source_train,1291
DAVIS,cold_drug,test,source_train,1248
DAVIS,cold_drug,test,source_train,1275
DAVIS,cold_drug,test,source_train,1225
DAVIS,cold_drug,test,source_train,14597
DAVIS,cold_drug,test,source_train,14608
DAVIS,cold_drug,test,source_train,14619
DAVIS,cold_drug,test,source_train,14576
DAVIS,cold_drug,test,source_train,14603
DAVIS,cold_drug,test,source_train,14553
DAVIS,cold_drug,test,source_train,23505
DAVIS,cold_drug,test,source_train,23516
DAVIS,cold_drug,test,source_train,23527
DAVIS,cold_drug,test,source_train,23484
DAVIS,cold_drug,test,source_train,23511
DAVIS,cold_drug,test,source_train,23461
DAVIS,cold_drug,test,source_test,929
DAVIS,cold_drug,test,source_test,940
DAVIS,cold_drug,test,source_test,951
DAVIS,cold_drug,test,source_test,908
DAVIS,cold_drug,test,source_test,935
DAVIS,cold_drug,test,source_test,885
