dataset,setting,partition,rows,source_file
DAVIS,cold_drug,train,24310,DAVIS/cold_drug/train.csv
DAVIS,cold_drug,val,3094,DAVIS/cold_drug/val.csv
DAVIS,cold_drug,test,2652,DAVIS/cold_drug/test.csv
DAVIS,cold_target,train,22372,DAVIS/cold_target/train.csv
DAVIS,cold_target,val,2856,DAVIS/cold_target/val.csv
DAVIS,cold_target,test,4828,DAVIS/cold_target/test.csv
DAVIS,warm,train,24051,DAVIS/warm/train.csv
DAVIS,warm,val,3000,DAVIS/warm/val.csv
DAVIS,warm,test,3005,DAVIS/warm/test.csv
KIBA,cold_drug,train,94491,KIBA/cold_drug/train.csv
KIBA,cold_drug,val,11745,KIBA/cold_drug/val.csv
KIBA,cold_drug,test,11800,KIBA/cold_drug/test.csv
KIBA,cold_target,train,85975,KIBA/cold_target/train.csv
KIBA,cold_target,val,12421,KIBA/cold_target/val.csv
KIBA,cold_target,test,19640,KIBA/cold_target/test.csv
KIBA,warm,train,94429,KIBA/warm/train.csv
KIBA,warm,val,11804,KIBA/warm/val.csv
KIBA,warm,test,11803,KIBA/warm/test.csv
