family,evaluation_file,evaluation_artifact_version,experiment_family,sensitivity_name,sensitivity_overrides,metric_schema_version,architecture_version,dataset,setting,fusion,model_seed,checkpoint,checkpoint_sha256,test_csv,test_csv_sha256,evaluated_at_utc,test_samples,unique_model_inputs,repeated_records_beyond_unique_inputs,repeated_fraction,scaler.method,scaler.fit_on,scaler.min,scaler.max,scaler.range,protein_protocol.max_len,protein_protocol.truncation,protein_protocol.dynamic_batch_padding_trim,parameter_summary.drug_encoder,parameter_summary.protein_encoder,parameter_summary.fusion,parameter_summary.predictor,parameter_summary.total,primary_metrics_level,record_level_metrics.metric_schema_version,record_level_metrics.n,record_level_metrics.mse_norm,record_level_metrics.rmse_norm,record_level_metrics.mae_norm,record_level_metrics.ci,record_level_metrics.mse_raw,record_level_metrics.rmse_raw,record_level_metrics.mae_raw,record_level_metrics.scaler_range,sensitivity_metrics_level,unique_input_level_metrics.metric_schema_version,unique_input_level_metrics.n,unique_input_level_metrics.mse_norm,unique_input_level_metrics.rmse_norm,unique_input_level_metrics.mae_norm,unique_input_level_metrics.ci,unique_input_level_metrics.mse_raw,unique_input_level_metrics.rmse_raw,unique_input_level_metrics.mae_raw,unique_input_level_metrics.scaler_range,record_prediction_file,unique_input_prediction_file,note,baseline_name,baseline_description,input_modality,baseline_config.architecture_version,baseline_config.input_modality,baseline_config.max_smiles_len,baseline_config.max_protein_len,baseline_config.smiles_vocab,baseline_config.smiles_embed_dim,baseline_config.protein_vocab_size,baseline_config.protein_embed_dim,baseline_config.encoder_output_dim,baseline_config.dropout,baseline_config.description,reporting_label,baseline_config.node_dim,baseline_config.gcn_hidden_dim,baseline_config.gcn_layers,baseline_config.graph_pooling,sensitivity_overrides.protein_max_len,sensitivity_overrides.drug_pooling
primary,davis_cold_drug_attention_seed123__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,attention,123,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_attention_seed123.pt,b7e0a7ee4eadb4e9cee2757a9e59db539ce46d580065fe31c1285d8f95c61249,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:10:23.275777+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,68288,297729,594305,record,zhiy_graph_regression_metrics_v2,2652,0.021517327126421782,0.1466878560972986,0.08564311015766625,0.654969403898554,0.7228148986669943,0.8501852143309682,0.49637719101347694,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.018233585475329977,0.1350317943127839,0.07878253507877181,0.6323109191895389,0.6125067096044238,0.7826280787222138,0.45661412098800264,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed123__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed123__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_attention_seed2026__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,attention,2026,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_attention_seed2026.pt,7511865bc51459509105891ad16607b909b7efa24fe21740360c59b7c81d6291,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:10:31.873614+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,68288,297729,594305,record,zhiy_graph_regression_metrics_v2,2652,0.02024271128107903,0.14227688245487752,0.08013593960064569,0.6650484085825161,0.6799977161388048,0.8246197403281131,0.4644582912153091,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.017141242472749296,0.1309245678730669,0.07141358393700392,0.6512747923985324,0.5758124774592783,0.7588230870626422,0.41390456429707406,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed2026__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed2026__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_attention_seed42__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,attention,42,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_attention_seed42.pt,b467e9f213c97b27197cec891aa0abac1e7b0d0fccda0db96fe461daa76832c6,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:10:14.234630+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,68288,297729,594305,record,zhiy_graph_regression_metrics_v2,2652,0.015535384763147508,0.12464102359635654,0.07081440363787284,0.7209746330405152,0.5218681436291661,0.7224044183344716,0.41043178717296247,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.013579508727560374,0.11653114917291588,0.0644559988304904,0.7209385256199172,0.4561659153662445,0.6754005591989427,0.37357923579078284,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed42__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_attention_seed42__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_concat_seed123__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,concat,123,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_concat_seed123.pt,793d3527cc6d62506eb815c33dd0de1fcc8f3429988210524fa18801e19f5fab,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:09:31.363749+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66304,297729,592321,record,zhiy_graph_regression_metrics_v2,2652,0.015064484710153545,0.122737462537538,0.08079152436910104,0.7158811038717589,0.5060495629993647,0.711371606826815,0.4682579818762159,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.013353107984080709,0.11555564886270471,0.07446704461867351,0.7163893184928781,0.44856061060441654,0.669746676441486,0.43160205605381835,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed123__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed123__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_concat_seed2026__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,concat,2026,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_concat_seed2026.pt,3658d274cb81f6a45e225eafe3d182a021362ecb014e5ef6400e3ab22da41716,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:09:40.055315+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66304,297729,592321,record,zhiy_graph_regression_metrics_v2,2652,0.015438732043299293,0.12425269431002006,0.06982772814624046,0.6938146923499651,0.5186213636972297,0.7201537083826131,0.4047131344047868,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.01382238137764276,0.11756862412073538,0.064542939358962,0.6856661740309721,0.4643245481242473,0.6814136395202604,0.37408313266267956,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed2026__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed2026__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_concat_seed42__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,concat,42,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_concat_seed42.pt,fc5def75d41a1fdf92cc44ff67af0e47c43a3a6b6407bec21bc9de2c2335943e,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:09:22.655424+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66304,297729,592321,record,zhiy_graph_regression_metrics_v2,2652,0.016594307313156392,0.12881889346348382,0.07815939819912228,0.6918167912103265,0.5574397084050254,0.7466188508235145,0.4530024943975169,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.014679498636796568,0.12115898083425994,0.07218376209396662,0.6816694263629284,0.49311702412189284,0.7022229162608501,0.4183684244888546,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed42__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_concat_seed42__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_product_seed123__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,product,123,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_product_seed123.pt,daac31b963bd6b70fdee6e3f88d75e31e6ef9fb39af49da3bf4e78b47f6f9815,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:09:57.042314+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66560,297729,592577,record,zhiy_graph_regression_metrics_v2,2652,0.016602127872450308,0.12884924474924295,0.09698142428203946,0.7216843490831538,0.5577024183940653,0.7467947632342271,0.5620926993074152,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.014408486689964733,0.12003535599965842,0.09075129867176901,0.7189674626348571,0.48401312977033767,0.6957105215320074,0.5259836387607586,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed123__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed123__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_product_seed2026__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,product,2026,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_product_seed2026.pt,38320c4f48163d5eab9b4884e46fbdc8abcf20fc41cd4af93d1b281bacfc6675,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:10:05.512150+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66560,297729,592577,record,zhiy_graph_regression_metrics_v2,2652,0.01773086694313645,0.1331573015014064,0.0786103540764585,0.7101043263482285,0.5956192754556309,0.7717637432891175,0.4556161805568714,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.01590085906842747,0.12609860851106752,0.07196816781882036,0.7052699014156384,0.5341452387992227,0.7308524056190981,0.4171188659371079,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed2026__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed2026__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_drug_product_seed42__davis__cold_drug__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_drug,product,42,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_drug_product_seed42.pt,e86b8c7ef82c239fb6a979f8d9079e17c28238297af694f0fdb57d09390b5927,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_drug/test.csv,721096db2e32acf6829a6386cb7be52197ee21fec65b0baa94705346c77fd963,2026-09-12T13:09:48.842884+00:00,2652,2274,378,0.1425339366515837,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,66560,297729,592577,record,zhiy_graph_regression_metrics_v2,2652,0.02043777024748521,0.1429607297389224,0.11468385677323936,0.7313854388424507,0.6865501808668167,0.8285832371384403,0.6646938740885597,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,2274,0.018896535125953004,0.1374646686459943,0.10944757369439986,0.7298122106025398,0.6347766635685475,0.7967287264612388,0.6343450056128498,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed42__davis__cold_drug__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_drug_product_seed42__davis__cold_drug__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
primary,davis_cold_target_attention_seed123__davis__cold_target__evaluation.json,3,primary,,,zhiy_graph_regression_metrics_v2,zhiy_graph_v3_token_cross_attention,DAVIS,cold_target,attention,123,/root/rivermind-data/FINAL_TEST_WORKSPACE/checkpoints/davis_cold_target_attention_seed123.pt,b2a9a884ee5ea9fe3a2d8229678454d2b41b3960f4d0aa6a30033ef484fcfa30,/root/rivermind-data/FINAL_TEST_WORKSPACE/data_final/DAVIS/cold_target/test.csv,04ac39ac9600a2123b10343386f20b00a76b4816f424e8d7f3cc3883210e6d3f,2026-09-12T13:11:55.295471+00:00,4828,4624,204,0.04225352112676056,minmax,train_only,5.0,10.79588002,5.79588002,1500,right,True,60672,167616,68288,297729,594305,record,zhiy_graph_regression_metrics_v2,4828,0.01346175038292195,0.11602478348577924,0.06599017133902384,0.7858504696415372,0.4522101505332372,0.6724657244300539,0.3824711155802249,5.79588002,unique_input_median_observed_label,zhiy_graph_regression_metrics_v2,4624,0.013393677394628876,0.11573105631000209,0.0657062239846728,0.785206943470438,0.44992342738003477,0.6707633169606361,0.3808253907824098,5.79588002,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_target_attention_seed123__davis__cold_target__test_predictions.csv,/root/rivermind-data/FINAL_TEST_WORKSPACE/evaluation_outputs/davis_cold_target_attention_seed123__davis__cold_target__unique_input_predictions.csv,Record-level metrics are primary because the benchmark-full policy retains all non-exact-duplicate records. Unique-input metrics are a prespecified sensitivity analysis preventing repeated assay records from receiving extra weight.,,,,,,,,,,,,,,,,,,,,,
