family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,record_mse_norm_mean,record_rmse_norm_mean,record_mae_norm_mean,record_ci_mean,record_mse_raw_mean,record_rmse_raw_mean,record_mae_raw_mean,record_mse_norm_sd,record_rmse_norm_sd,record_mae_norm_sd,record_ci_sd,record_mse_raw_sd,record_rmse_raw_sd,record_mae_raw_sd
baseline,DAVIS,cold_drug,,deepdta_style,,3,0.01965666312411103,0.1398082080063092,0.08508373676954224,0.6093253759275742,0.6603110544682366,0.8103115994157714,0.49313512996952924,0.0036787181985416923,0.012864375121373799,0.009684449404883782,0.10439798250525284,0.12357633019568849,0.07456037473575555,0.05612990681046675
baseline,DAVIS,cold_drug,,graphdta_gcn_style,,3,0.020407486241935714,0.14283938249643413,0.08862417636279067,0.6763476555358671,0.6855328737322509,0.8278799230802202,0.5136550930700547,0.0007341430483131026,0.002568185149021299,0.0023445800288336717,0.01045790090517896,0.024661498612525687,0.014884892992873272,0.013588904544408077
baseline,DAVIS,cold_target,,deepdta_style,,3,0.013645627740079968,0.11680759611434861,0.06615567635997428,0.7862470662392727,0.4583870001252166,0.6770028125033828,0.3834303628243614,0.0003646611849575834,0.0015555851313137305,0.0012504129896386401,0.001728780233451398,0.012249780649067734,0.009015984781990284,0.007247243663395033
baseline,DAVIS,cold_target,,graphdta_gcn_style,,3,0.013612732471392467,0.11666565670912832,0.06460756901842511,0.789693736629296,0.45728197485124644,0.6761801487406158,0.37445771841466113,0.00038802941218122743,0.001668988924597882,0.002006877665325371,0.005399123169426904,0.013034771400634812,0.009673259561678079,0.011631622163043523
baseline,DAVIS,warm,,deepdta_style,,3,0.006023966310906274,0.07758565930200091,0.04279442378862167,0.8696064057265346,0.2023584329507374,0.4496771725869943,0.24803134580388506,0.0004013928477733205,0.002578308044079891,0.0023926926103076136,0.007053445237891433,0.013483678938573463,0.014943564078087952,0.01386775929408358
baseline,DAVIS,warm,,graphdta_gcn_style,,3,0.006436962072347535,0.08019525817628066,0.04496126357619395,0.8674353066117995,0.21623187957829285,0.46480209456264676,0.26059008923521626,0.00046940483343463905,0.0029195817475855556,0.0020001280870324146,0.0018397300452369576,0.015768352877631737,0.016921545517587795,0.011592502417072015
baseline,KIBA,cold_drug,,deepdta_style,,3,0.001185081757339489,0.034423260936828584,0.022020310587802173,0.7626983031862119,0.3504686294859889,0.5919737206846594,0.37868129963674524,2.9213834984109574e-05,0.0004257883532349605,0.0004585959617128243,0.004936097535828829,0.008639515919894238,0.007322243995165036,0.007886433485900598
baseline,KIBA,cold_drug,,graphdta_gcn_style,,3,0.0011825975780044493,0.03438865161060442,0.02205344435353737,0.761688705393386,0.3497339739050073,0.5913785472159717,0.3792510980244852,1.1385302432405933e-05,0.00016531065720307636,0.0002759012014280947,0.002348124742981515,0.0033670177732942255,0.002842832496111157,0.004744648133437546
baseline,KIBA,cold_target,,deepdta_style,,3,0.0012737707442725564,0.03567575866283273,0.02589394101279978,0.6838172467428326,0.37684020221858966,0.6136294527280514,0.4453804333307802,8.737483232513104e-05,0.0012314552999635301,0.0012839907480658751,0.026849048420391236,0.02584950991398522,0.02118125220313611,0.022084871340504297
baseline,KIBA,cold_target,,graphdta_gcn_style,,3,0.0012927301457472057,0.035953071779691176,0.02582288429049999,0.6934412752862474,0.3824492686206687,0.6183992881151666,0.4441582449526842,2.8801778295345297e-05,0.00040020373232813077,0.0005512189344152479,0.010870855533696912,0.008520895935061954,0.006883576031813374,0.009481064614638558
