family,dataset,setting,plan__fusion,plan__baseline,plan__variant,n_seeds,unique_mse_norm_mean,unique_rmse_norm_mean,unique_mae_norm_mean,unique_ci_mean,unique_mse_raw_mean,unique_rmse_raw_mean,unique_mae_raw_mean,unique_mse_norm_sd,unique_rmse_norm_sd,unique_mae_norm_sd,unique_ci_sd,unique_mse_raw_sd,unique_rmse_raw_sd,unique_mae_raw_sd
baseline,DAVIS,cold_drug,,deepdta_style,,3,0.01640304075146976,0.12787751677210027,0.07742333058251454,0.5982776998334819,0.5510146389904257,0.7411627444666308,0.44873633480505104,0.0022669559399607973,0.00869322630019842,0.007830151267000911,0.09810121455516431,0.0761520944677758,0.0503848966226587,0.04538261728198824
baseline,DAVIS,cold_drug,,graphdta_gcn_style,,3,0.017379032738757696,0.1318118109725932,0.08059527986267724,0.6605737463149862,0.5838003816268831,0.7639654416160697,0.46712057226239945,0.0006948479157270734,0.002649309405218423,0.0027769309972902373,0.014394127011735501,0.023341487669187023,0.015355079448503573,0.016094758884113106
baseline,DAVIS,cold_target,,deepdta_style,,3,0.013570348934002318,0.11648533378131028,0.06607155934991008,0.7842301498880943,0.4558582175181997,0.6751350186861274,0.382942830726388,0.0003525524304295309,0.0015079528469346569,0.0012939471148642103,0.001179351261356546,0.011843020639994291,0.008739913776650603,0.007499562229978189
baseline,DAVIS,cold_target,,graphdta_gcn_style,,3,0.013539104547111812,0.11634827314533512,0.06444536743625671,0.7880806755648949,0.4548086490373431,0.6743406316845504,0.3735176175053589,0.0004196759257570701,0.0018099239805739512,0.001968805852674231,0.005505846222048861,0.014097848211666727,0.010490102236727455,0.011410962504773626
baseline,DAVIS,warm,,deepdta_style,,3,0.0057594648857508465,0.07586776075661407,0.04107325517069372,0.8777987582745296,0.19347324150954615,0.43972043873139954,0.23805565900018544,0.00035080384575821944,0.0023068691536424065,0.0023555615755136436,0.005122979713830913,0.0117842817899235,0.01337033683635036,0.013652552271399271
baseline,DAVIS,warm,,graphdta_gcn_style,,3,0.006069167040773769,0.07788390109640207,0.04303216740792446,0.8756953763127936,0.20387682604793253,0.45140574624429286,0.2494092792968846,0.0003424222118604243,0.002213026472829335,0.001305430286490298,0.0016111951203393933,0.011502724056432545,0.01282643591760263,0.007566117314972
baseline,KIBA,cold_drug,,deepdta_style,,3,0.0011850816642022051,0.03442325958393691,0.022020308171778646,0.7626950075675584,0.35046860194215385,0.5919736974191029,0.37868125808860587,2.9213834372444664e-05,0.0004257883613379994,0.00045859618948075685,0.004935824434088728,0.008639515739004216,0.007322244134512281,0.007886437402805266
baseline,KIBA,cold_drug,,graphdta_gcn_style,,3,0.0011825974848925374,0.034388650255833035,0.02205344200845213,0.7616887996143483,0.3497339463686758,0.5913785239180901,0.3792510576962653,1.1385322513812835e-05,0.00016531095486445321,0.00027590099556555804,0.0023477811935655075,0.0033670237120432644,0.0028428376149670902,0.004744644593238013
baseline,KIBA,cold_target,,deepdta_style,,3,0.0012723762091977316,0.03565623954927993,0.025883295426884206,0.683826239302905,0.3764276343511293,0.6132937204713015,0.4451973273421708,8.72348890435024e-05,0.0012301160933608603,0.0012827728773888054,0.02682371897161891,0.025808108229431616,0.021158217609185417,0.022063923746253385
baseline,KIBA,cold_target,,graphdta_gcn_style,,3,0.0012911270679704949,0.03593080063718121,0.02580812549984185,0.6934637407421107,0.3819750041925804,0.6180162204663696,0.4439043911041907,2.8497066495424572e-05,0.0003961695501288952,0.0005467448647554808,0.01081454146619316,0.008430748114650185,0.006814187373858934,0.009404109813404043
