run_id,family,dataset,setting,method,variant,seed
run_001,primary,KIBA,warm,concat,,42
run_002,primary,KIBA,warm,concat,,123
run_003,primary,KIBA,warm,concat,,2026
run_004,primary,KIBA,warm,product,,42
run_005,primary,KIBA,warm,product,,123
run_006,primary,KIBA,warm,product,,2026
run_007,primary,KIBA,warm,attention,,42
run_008,primary,KIBA,warm,attention,,123
run_009,primary,KIBA,warm,attention,,2026
run_010,primary,KIBA,cold_drug,concat,,42
run_011,primary,KIBA,cold_drug,concat,,123
run_012,primary,KIBA,cold_drug,concat,,2026
run_013,primary,KIBA,cold_drug,product,,42
run_014,primary,KIBA,cold_drug,product,,123
run_015,primary,KIBA,cold_drug,product,,2026
run_016,primary,KIBA,cold_drug,attention,,42
run_017,primary,KIBA,cold_drug,attention,,123
run_018,primary,KIBA,cold_drug,attention,,2026
run_019,primary,KIBA,cold_target,concat,,42
run_020,primary,KIBA,cold_target,concat,,123
run_021,primary,KIBA,cold_target,concat,,2026
run_022,primary,KIBA,cold_target,product,,42
run_023,primary,KIBA,cold_target,product,,123
run_024,primary,KIBA,cold_target,product,,2026
run_025,primary,KIBA,cold_target,attention,,42
run_026,primary,KIBA,cold_target,attention,,123
run_027,primary,KIBA,cold_target,attention,,2026
run_028,primary,DAVIS,warm,concat,,42
run_029,primary,DAVIS,warm,concat,,123
run_030,primary,DAVIS,warm,concat,,2026
run_031,primary,DAVIS,warm,product,,42
run_032,primary,DAVIS,warm,product,,123
run_033,primary,DAVIS,warm,product,,2026
run_034,primary,DAVIS,warm,attention,,42
run_035,primary,DAVIS,warm,attention,,123
run_036,primary,DAVIS,warm,attention,,2026
run_037,primary,DAVIS,cold_drug,concat,,42
run_038,primary,DAVIS,cold_drug,concat,,123
run_039,primary,DAVIS,cold_drug,concat,,2026
run_040,primary,DAVIS,cold_drug,product,,42
run_041,primary,DAVIS,cold_drug,product,,123
run_042,primary,DAVIS,cold_drug,product,,2026
run_043,primary,DAVIS,cold_drug,attention,,42
run_044,primary,DAVIS,cold_drug,attention,,123
run_045,primary,DAVIS,cold_drug,attention,,2026
run_046,primary,DAVIS,cold_target,concat,,42
run_047,primary,DAVIS,cold_target,concat,,123
run_048,primary,DAVIS,cold_target,concat,,2026
run_049,primary,DAVIS,cold_target,product,,42
run_050,primary,DAVIS,cold_target,product,,123
run_051,primary,DAVIS,cold_target,product,,2026
run_052,primary,DAVIS,cold_target,attention,,42
run_053,primary,DAVIS,cold_target,attention,,123
run_054,primary,DAVIS,cold_target,attention,,2026
run_055,baseline,KIBA,warm,deepdta_style,,42
run_056,baseline,KIBA,warm,deepdta_style,,123
run_057,baseline,KIBA,warm,deepdta_style,,2026
run_058,baseline,KIBA,warm,graphdta_gcn_style,,42
run_059,baseline,KIBA,warm,graphdta_gcn_style,,123
run_060,baseline,KIBA,warm,graphdta_gcn_style,,2026
run_061,baseline,KIBA,cold_drug,deepdta_style,,42
run_062,baseline,KIBA,cold_drug,deepdta_style,,123
run_063,baseline,KIBA,cold_drug,deepdta_style,,2026
run_064,baseline,KIBA,cold_drug,graphdta_gcn_style,,42
run_065,baseline,KIBA,cold_drug,graphdta_gcn_style,,123
run_066,baseline,KIBA,cold_drug,graphdta_gcn_style,,2026
run_067,baseline,KIBA,cold_target,deepdta_style,,42
run_068,baseline,KIBA,cold_target,deepdta_style,,123
run_069,baseline,KIBA,cold_target,deepdta_style,,2026
run_070,baseline,KIBA,cold_target,graphdta_gcn_style,,42
run_071,baseline,KIBA,cold_target,graphdta_gcn_style,,123
run_072,baseline,KIBA,cold_target,graphdta_gcn_style,,2026
run_073,baseline,DAVIS,warm,deepdta_style,,42
run_074,baseline,DAVIS,warm,deepdta_style,,123
run_075,baseline,DAVIS,warm,deepdta_style,,2026
run_076,baseline,DAVIS,warm,graphdta_gcn_style,,42
run_077,baseline,DAVIS,warm,graphdta_gcn_style,,123
run_078,baseline,DAVIS,warm,graphdta_gcn_style,,2026
run_079,baseline,DAVIS,cold_drug,deepdta_style,,42
run_080,baseline,DAVIS,cold_drug,deepdta_style,,123
run_081,baseline,DAVIS,cold_drug,deepdta_style,,2026
run_082,baseline,DAVIS,cold_drug,graphdta_gcn_style,,42
run_083,baseline,DAVIS,cold_drug,graphdta_gcn_style,,123
run_084,baseline,DAVIS,cold_drug,graphdta_gcn_style,,2026
run_085,baseline,DAVIS,cold_target,deepdta_style,,42
run_086,baseline,DAVIS,cold_target,deepdta_style,,123
run_087,baseline,DAVIS,cold_target,deepdta_style,,2026
run_088,baseline,DAVIS,cold_target,graphdta_gcn_style,,42
run_089,baseline,DAVIS,cold_target,graphdta_gcn_style,,123
run_090,baseline,DAVIS,cold_target,graphdta_gcn_style,,2026
run_091,sensitivity,KIBA,warm,concat,protein_len_1000,42
run_092,sensitivity,KIBA,warm,concat,protein_len_1000,123
run_093,sensitivity,KIBA,warm,concat,protein_len_1000,2026
run_094,sensitivity,KIBA,warm,concat,drug_pool_mean,42
run_095,sensitivity,KIBA,warm,concat,drug_pool_mean,123
run_096,sensitivity,KIBA,warm,concat,drug_pool_mean,2026
run_097,sensitivity,KIBA,cold_drug,concat,protein_len_1000,42
run_098,sensitivity,KIBA,cold_drug,concat,protein_len_1000,123
run_099,sensitivity,KIBA,cold_drug,concat,protein_len_1000,2026
run_100,sensitivity,KIBA,cold_drug,concat,drug_pool_mean,42
run_101,sensitivity,KIBA,cold_drug,concat,drug_pool_mean,123
run_102,sensitivity,KIBA,cold_drug,concat,drug_pool_mean,2026
run_103,sensitivity,KIBA,cold_target,concat,protein_len_1000,42
